a0,b1,c2,d3
dm,MPUI_DEATHMATCH,MENU_KILL_EVERYONE_FIRST_PLAYER,weapon_missing_image
war,MPUI_TEAM_DEATHMATCH,MENU_KILL_PLAYERS_ON_THE_OPPOSING,weapon_missing_image
sd,MPUI_SEARCH_AND_DESTROY,MENU_TEAMS_TAKE_TURNS_DEFENDING,weapon_missing_image
sab,MPUI_SABOTAGE,MENU_1_BOMB_IN_THE_CENTER,weapon_missing_image
dom,MPUI_DOMINATION,MENU_CAPTURE_AND_HOLD_THE,weapon_missing_image
koth,MPUI_HEADQUARTERS,MENU_CAPTURE_THE_HEADQUARTERS,weapon_missing_image
oneflag,MPUI_ONE_FLAG,MENU_TEAMS_TAKE_TURNS_CAPTURING,weapon_missing_image
arena,MPUI_ARENA,MENU_ARENA,weapon_missing_image
dd,MPUI_DD,MENU_DD,weapon_missing_image
vip,MPUI_VIP,MENU_VIP,weapon_missing_image
ctf,MPUI_CTF,MENU_CTF_DESC,weapon_missing_image
gtnw,MPUI_GTNW,MENU_GTNW_DESC,weapon_missing_image
